Country,Year,Domestic Consumption,Exports,Imports
Congo (Brazzaville),2013,0,0,0
Congo (Brazzaville),2014,0,0,0
Congo (Brazzaville),2015,0,0,0
Congo (Brazzaville),2016,0,0,0
Congo (Brazzaville),2017,0,0,0
Congo (Brazzaville),2018,0,0,0
Congo (Brazzaville),2019,0,0,0
Congo (Brazzaville),2020,0,0,0
Congo (Brazzaville),2021,0,0,0
Congo (Brazzaville),2022,0,0,0
Congo (Brazzaville),2023,0,0,0
Congo (Kinshasa),2013,170,70,0
Congo (Kinshasa),2014,145,75,0
Congo (Kinshasa),2015,155,70,0
Congo (Kinshasa),2016,150,80,0
Congo (Kinshasa),2017,160,95,0
Congo (Kinshasa),2018,130,115,0
Congo (Kinshasa),2019,130,125,0
Congo (Kinshasa),2020,130,120,0
Congo (Kinshasa),2021,120,150,0
Congo (Kinshasa),2022,125,140,0
Congo (Kinshasa),2023,125,150,0
Costa Rica,2013,455,1265,210
Costa Rica,2014,397,1180,161
Costa Rica,2015,385,1220,182
Costa Rica,2016,390,1120,120
Costa Rica,2017,377,1210,92
Costa Rica,2018,430,1080,230
Costa Rica,2019,463,1140,210
Costa Rica,2020,485,1165,160
Costa Rica,2021,365,1110,220
Costa Rica,2022,390,1035,240
Costa Rica,2023,395,1210,170
Cote d'Ivoire,2013,100,1570,0
Cote d'Ivoire,2014,75,1350,0
Cote d'Ivoire,2015,75,1540,0
Cote d'Ivoire,2016,100,990,0
Cote d'Ivoire,2017,80,1170,0
Cote d'Ivoire,2018,35,1965,0
Cote d'Ivoire,2019,65,1715,0
Cote d'Ivoire,2020,50,865,0
Cote d'Ivoire,2021,50,1060,0
Cote d'Ivoire,2022,50,1000,0
Cote d'Ivoire,2023,50,1300,0
Croatia,2013,0,0,0
Croatia,2014,0,0,0
Croatia,2015,0,0,0
Croatia,2016,0,0,0
Croatia,2017,0,0,0
Croatia,2018,0,0,0
Croatia,2019,0,0,0
Croatia,2020,0,0,0
Croatia,2021,0,0,0
Croatia,2022,0,0,0
Croatia,2023,0,0,0
Cuba,2013,136,14,0
Cuba,2014,139,11,0
Cuba,2015,131,19,0
Cuba,2016,135,15,0
Cuba,2017,86,14,0
Cuba,2018,87,23,0
Cuba,2019,80,10,0
Cuba,2020,85,15,0
Cuba,2021,80,20,0
Cuba,2022,83,17,0
Cuba,2023,80,20,0
Dominican Republic,2013,252,23,0
Dominican Republic,2014,208,17,0
Dominican Republic,2015,210,15,0
Dominican Republic,2016,212,13,0
Dominican Republic,2017,112,13,0
Dominican Republic,2018,113,12,0
Dominican Republic,2019,110,10,0
Dominican Republic,2020,110,10,0
Dominican Republic,2021,113,12,0
Dominican Republic,2022,110,15,0
Dominican Republic,2023,110,15,0
Ecuador,2013,265,979,1125
Ecuador,2014,265,890,890
Ecuador,2015,265,845,695
Ecuador,2016,217,574,648
Ecuador,2017,232,705,708
Ecuador,2018,240,486,456
Ecuador,2019,313,391,441
Ecuador,2020,229,511,441
Ecuador,2021,205,484,421
Ecuador,2022,313,542,441
Ecuador,2023,343,451,426
Egypt,2013,430,0,430
Egypt,2014,480,0,480
Egypt,2015,525,0,525
Egypt,2016,630,0,630
Egypt,2017,800,0,800
Egypt,2018,825,0,825
Egypt,2019,750,0,750
Egypt,2020,400,0,400
Egypt,2021,250,0,250
Egypt,2022,350,0,350
Egypt,2023,300,0,300
El Salvador,2013,255,500,200
El Salvador,2014,275,600,180
El Salvador,2015,275,490,200
El Salvador,2016,265,520,200
El Salvador,2017,285,590,215
El Salvador,2018,252,615,226
El Salvador,2019,270,555,283
El Salvador,2020,230,542,244
El Salvador,2021,225,611,229
El Salvador,2022,287,497,230
El Salvador,2023,290,610,230
Equatorial Guinea,2013,0,0,0
Equatorial Guinea,2014,0,0,0
Equatorial Guinea,2015,0,0,0
Equatorial Guinea,2016,0,0,0
Equatorial Guinea,2017,0,0,0
Equatorial Guinea,2018,0,0,0
Equatorial Guinea,2019,0,0,0
Equatorial Guinea,2020,0,0,0
Equatorial Guinea,2021,0,0,0
Equatorial Guinea,2022,0,0,0
Equatorial Guinea,2023,0,0,0
Ethiopia,2013,3120,3285,0
Ethiopia,2014,2985,3500,0
Ethiopia,2015,3110,3405,0
Ethiopia,2016,3100,3853,0
Ethiopia,2017,3150,3893,0
Ethiopia,2018,3193,4174,0
Ethiopia,2019,3140,4135,0
Ethiopia,2020,3000,4675,0
Ethiopia,2021,3364,4831,0
Ethiopia,2022,3430,3910,0
Ethiopia,2023,3500,4820,0
European Union,2013,41475,1620,44650
European Union,2014,43870,1445,45140
European Union,2015,44095,2180,46150
European Union,2016,39045,2580,43425
European Union,2017,42065,2845,44510
European Union,2018,42092,2966,45890
European Union,2019,40264,3490,44460
European Union,2020,41271,3875,43875
European Union,2021,41867,4500,46600
European Union,2022,44462,4695,44470
European Union,2023,43125,4100,47000
Gabon,2013,0,0,0
Gabon,2014,0,0,0
Gabon,2015,0,0,0
Gabon,2016,0,0,0
Gabon,2017,0,0,0
Gabon,2018,0,0,0
Gabon,2019,0,0,0
Gabon,2020,0,0,0
Gabon,2021,0,0,0
Gabon,2022,0,0,0
Gabon,2023,0,0,0
Georgia,2013,75,0,75
Georgia,2014,75,0,75
Georgia,2015,75,0,75
Georgia,2016,80,0,80
Georgia,2017,80,0,80
Georgia,2018,90,0,90
Georgia,2019,80,0,80
Georgia,2020,85,0,85
Georgia,2021,95,0,95
Georgia,2022,95,0,95
Georgia,2023,90,0,90
Ghana,2013,1,6,0
Ghana,2014,2,2,0
Ghana,2015,2,0,0
Ghana,2016,3,0,0
Ghana,2017,3,0,0
Ghana,2018,0,0,0
Ghana,2019,0,0,0
Ghana,2020,0,0,0
Ghana,2021,0,0,0
Ghana,2022,0,0,0
Ghana,2023,0,0,0
Guatemala,2013,552,3175,215
Guatemala,2014,500,3070,185
Guatemala,2015,430,3044,190
Guatemala,2016,455,3330,225
Guatemala,2017,485,3465,240
Guatemala,2018,495,3604,249
Guatemala,2019,635,3220,304
Guatemala,2020,605,3691,357
Guatemala,2021,625,3354,349
Guatemala,2022,625,3004,350
Guatemala,2023,625,3169,360
Guinea,2013,25,25,0
Guinea,2014,20,130,0
Guinea,2015,20,260,0
Guinea,2016,19,180,0
Guinea,2017,20,160,0
Guinea,2018,15,70,0
Guinea,2019,20,125,0
Guinea,2020,10,60,0
Guinea,2021,15,250,0
Guinea,2022,15,125,0
Guinea,2023,15,185,0
Guyana,2013,0,0,0
Guyana,2014,0,0,0
Guyana,2015,0,0,0
Guyana,2016,0,0,0
Guyana,2017,0,0,0
Guyana,2018,0,0,0
Guyana,2019,0,0,0
Guyana,2020,0,0,0
Guyana,2021,0,0,0
Guyana,2022,0,0,0
Guyana,2023,0,0,0
Haiti,2013,320,5,0
Haiti,2014,323,2,0
Haiti,2015,15,0,0
Haiti,2016,0,0,0
Haiti,2017,0,0,0
Haiti,2018,0,0,0
Haiti,2019,0,0,0
Haiti,2020,0,0,0
Haiti,2021,0,0,0
Haiti,2022,0,0,0
Haiti,2023,0,0,0
Honduras,2013,315,3940,15
Honduras,2014,320,4760,20
Honduras,2015,345,5000,20
Honduras,2016,375,7175,25
Honduras,2017,375,7225,25
Honduras,2018,365,6910,12
Honduras,2019,366,4900,28
Honduras,2020,369,6010,24
Honduras,2021,373,4650,21
Honduras,2022,327,5350,22
Honduras,2023,385,6200,25
India,2013,1170,5013,1152
India,2014,1191,4894,1205
India,2015,1250,5693,1202
India,2016,1200,6158,1386
India,2017,1215,6148,1472
India,2018,1250,5778,1386
India,2019,1170,5185,1430
India,2020,1180,5794,1345
India,2021,875,7258,1690
India,2022,1240,6306,1690
India,2023,1270,6336,1550
Indonesia,2013,2540,10380,970
Indonesia,2014,2900,8720,1155
Indonesia,2015,3175,9896,964
Indonesia,2016,3203,8174,743
Indonesia,2017,3560,8010,1751
Indonesia,2018,4300,6150,1676
Indonesia,2019,4900,7152,1231
Indonesia,2020,4450,7872,993
Indonesia,2021,4750,7428,985
Indonesia,2022,4770,8792,1347
Indonesia,2023,4790,6050,1720
Iran,2013,190,0,190
Iran,2014,145,0,145
Iran,2015,295,0,295
Iran,2016,405,0,405
Iran,2017,710,0,710
Iran,2018,515,0,515
Iran,2019,305,0,305
Iran,2020,425,0,425
Iran,2021,635,0,635
Iran,2022,770,0,770
Iran,2023,800,0,800
Jamaica,2013,5,26,0
Jamaica,2014,5,22,0
Jamaica,2015,5,22,0
Jamaica,2016,5,11,0
Jamaica,2017,5,11,0
Jamaica,2018,5,10,0
Jamaica,2019,5,11,0
Jamaica,2020,4,11,0
Jamaica,2021,4,11,0
Jamaica,2022,5,10,0
Jamaica,2023,5,10,0
Japan,2013,7750,0,7870
Japan,2014,7860,0,8110
Japan,2015,8060,0,8195
Japan,2016,8210,0,8030
Japan,2017,8231,0,7720
Japan,2018,7897,0,8320
Japan,2019,7610,0,7290
Japan,2020,7354,0,7150
Japan,2021,7210,0,7415
Japan,2022,6886,0,6505
Japan,2023,7317,0,6800
Jordan,2013,550,0,550
Jordan,2014,470,0,470
Jordan,2015,580,0,580
Jordan,2016,625,0,625
Jordan,2017,775,0,775
Jordan,2018,835,0,835
Jordan,2019,770,0,770
Jordan,2020,845,0,845
Jordan,2021,730,0,730
Jordan,2022,665,0,665
Jordan,2023,650,0,650
Kazakhstan,2013,165,0,165
Kazakhstan,2014,125,0,125
Kazakhstan,2015,130,0,130
Kazakhstan,2016,100,0,100
Kazakhstan,2017,180,0,180
Kazakhstan,2018,150,0,150
Kazakhstan,2019,225,0,225
Kazakhstan,2020,210,0,210
Kazakhstan,2021,325,0,325
Kazakhstan,2022,500,0,500
Kazakhstan,2023,350,0,350
Kenya,2013,30,800,25
Kenya,2014,31,730,6
Kenya,2015,37,751,7
Kenya,2016,46,765,11
Kenya,2017,44,695,9
Kenya,2018,55,827,15
Kenya,2019,36,737,11
Kenya,2020,81,655,11
Kenya,2021,48,771,13
Kenya,2022,47,881,15
Kenya,2023,55,760,18
"Korea, South",2013,2160,0,2160
"Korea, South",2014,2305,0,2305
"Korea, South",2015,2465,0,2465
"Korea, South",2016,2725,0,2725
"Korea, South",2017,2645,0,2645
"Korea, South",2018,2770,0,2770
"Korea, South",2019,2980,0,2980
"Korea, South",2020,2995,0,2995
"Korea, South",2021,3405,0,3405
"Korea, South",2022,3175,0,3175
"Korea, South",2023,3200,0,3200
Kosovo,2013,135,0,135
Kosovo,2014,105,0,105
Kosovo,2015,120,0,120
Kosovo,2016,115,0,115
Kosovo,2017,110,0,110
Kosovo,2018,95,0,95
Kosovo,2019,90,0,90
Kosovo,2020,70,0,70
Kosovo,2021,65,0,65
Kosovo,2022,60,0,60
Kosovo,2023,50,0,50
Laos,2013,110,365,0
Laos,2014,100,375,0
Laos,2015,100,375,0
Laos,2016,100,310,0
Laos,2017,100,350,0
Laos,2018,95,280,0
Laos,2019,100,340,0
Laos,2020,85,400,0
Laos,2021,85,300,0
Laos,2022,85,350,0
Laos,2023,80,370,0
Liberia,2013,0,1,0
Liberia,2014,0,3,0
Liberia,2015,0,0,0
Liberia,2016,0,0,0
Liberia,2017,0,0,0
Liberia,2018,0,0,0
Liberia,2019,0,0,0
Liberia,2020,0,0,0
Liberia,2021,0,0,0
Liberia,2022,0,0,0
Liberia,2023,0,0,0
Madagascar,2013,392,165,0
Madagascar,2014,390,110,0
Madagascar,2015,208,47,0
Madagascar,2016,215,80,0
Madagascar,2017,225,25,0
Madagascar,2018,275,5,0
Madagascar,2019,300,25,0
Madagascar,2020,290,35,0
Madagascar,2021,285,15,0
Madagascar,2022,315,10,0
Madagascar,2023,290,10,0
Malawi,2013,1,24,0
Malawi,2014,1,20,0
Malawi,2015,1,22,0
Malawi,2016,1,15,0
Malawi,2017,1,11,0
Malawi,2018,1,10,0
Malawi,2019,1,9,0
Malawi,2020,1,9,0
Malawi,2021,1,10,0
Malawi,2022,1,10,0
Malawi,2023,1,9,0
Malaysia,2013,660,2110,1270
Malaysia,2014,665,2775,1340
Malaysia,2015,665,2975,1440
Malaysia,2016,670,2940,1510
Malaysia,2017,600,3075,1575
Malaysia,2018,850,3125,1875
Malaysia,2019,635,3000,1735
Malaysia,2020,800,2780,1580
Malaysia,2021,750,2975,1725
Malaysia,2022,675,2500,1175
Malaysia,2023,650,2300,1450
Mexico,2013,2731,2725,1614
Mexico,2014,2339,2560,1675
Mexico,2015,2325,2340,2450
Mexico,2016,2057,2865,1565
Mexico,2017,2295,3220,1545
Mexico,2018,2580,2896,1768
Mexico,2019,2620,2986,1980
Mexico,2020,2589,3007,1984
Mexico,2021,2850,2933,2125
Mexico,2022,3000,2530,1982
Mexico,2023,2985,3025,1900
Montenegro,2013,60,0,60
Montenegro,2014,50,0,50
Montenegro,2015,45,0,45
Montenegro,2016,45,0,45
Montenegro,2017,40,0,40
Montenegro,2018,50,0,50
Montenegro,2019,35,0,35
Montenegro,2020,40,0,40
Montenegro,2021,40,0,40
Montenegro,2022,40,0,40
Montenegro,2023,35,0,35
Morocco,2013,620,0,620
Morocco,2014,635,0,635
Morocco,2015,670,0,670
Morocco,2016,660,0,660
Morocco,2017,825,0,825
Morocco,2018,845,0,845
Morocco,2019,710,0,710
Morocco,2020,880,0,880
Morocco,2021,990,0,990
Morocco,2022,830,0,830
Morocco,2023,930,0,930
New Caledonia,2013,0,0,0
New Caledonia,2014,0,0,0
New Caledonia,2015,0,0,0
New Caledonia,2016,0,0,0
New Caledonia,2017,0,0,0
New Caledonia,2018,0,0,0
New Caledonia,2019,0,0,0
New Caledonia,2020,0,0,0
New Caledonia,2021,0,0,0
New Caledonia,2022,0,0,0
New Caledonia,2023,0,0,0
New Zealand,2013,305,0,305
New Zealand,2014,330,0,330
New Zealand,2015,358,0,358
New Zealand,2016,405,0,405
New Zealand,2017,425,0,425
New Zealand,2018,435,0,435
New Zealand,2019,450,0,450
New Zealand,2020,525,0,525
New Zealand,2021,515,0,515
New Zealand,2022,515,0,515
New Zealand,2023,560,0,560
Nicaragua,2013,100,1920,25
Nicaragua,2014,150,1925,30
Nicaragua,2015,160,2060,30
Nicaragua,2016,180,2450,40
Nicaragua,2017,170,2515,25
Nicaragua,2018,180,2790,25
Nicaragua,2019,150,2740,25
Nicaragua,2020,175,2500,25
Nicaragua,2021,165,2720,25
Nicaragua,2022,155,2480,25
Nicaragua,2023,155,2580,25
Nigeria,2013,19,1,0
Nigeria,2014,17,3,0
Nigeria,2015,19,1,0
Nigeria,2016,8,2,0
Nigeria,2017,3,2,0
Nigeria,2018,0,0,0
Nigeria,2019,0,0,0
Nigeria,2020,0,0,0
Nigeria,2021,0,0,0
Nigeria,2022,0,0,0
Nigeria,2023,0,0,0
North Macedonia,2013,110,0,110
North Macedonia,2014,100,0,100
North Macedonia,2015,105,0,105
North Macedonia,2016,105,0,105
North Macedonia,2017,100,0,100
North Macedonia,2018,105,0,105
North Macedonia,2019,100,0,100
North Macedonia,2020,90,0,90
North Macedonia,2021,77,0,77
North Macedonia,2022,85,0,85
North Macedonia,2023,85,0,85
Norway,2013,775,0,775
Norway,2014,775,0,775
Norway,2015,785,0,785
Norway,2016,805,0,805
Norway,2017,740,0,740
Norway,2018,800,0,800
Norway,2019,795,0,795
Norway,2020,815,0,815
Norway,2021,750,0,750
Norway,2022,725,0,725
Norway,2023,790,0,790
Panama,2013,77,53,35
Panama,2014,103,57,40
Panama,2015,75,60,50
Panama,2016,83,57,45
Panama,2017,99,36,60
Panama,2018,87,43,55
Panama,2019,67,48,40
Panama,2020,97,33,55
Panama,2021,110,35,70
Panama,2022,127,33,75
Panama,2023,124,36,85
Papua New Guinea,2013,40,815,0
Papua New Guinea,2014,55,755,0
Papua New Guinea,2015,60,690,0
Papua New Guinea,2016,50,1065,0
Papua New Guinea,2017,50,760,0
Papua New Guinea,2018,50,915,0
Papua New Guinea,2019,51,775,0
Papua New Guinea,2020,50,650,0
Papua New Guinea,2021,55,720,0
Papua New Guinea,2022,50,825,0
Papua New Guinea,2023,50,850,0
Paraguay,2013,0,0,0
Paraguay,2014,0,0,0
Paraguay,2015,0,0,0
Paraguay,2016,0,0,0
Paraguay,2017,0,0,0
Paraguay,2018,0,0,0
Paraguay,2019,0,0,0
Paraguay,2020,0,0,0
Paraguay,2021,0,0,0
Paraguay,2022,0,0,0
Paraguay,2023,0,0,0
Peru,2013,170,4100,0
Peru,2014,170,2750,0
Peru,2015,160,3300,0
Peru,2016,169,4025,0
Peru,2017,180,4185,0
Peru,2018,170,4293,0
Peru,2019,210,3720,119
Peru,2020,222,3326,138
Peru,2021,245,4065,120
Peru,2022,195,3300,90
Peru,2023,230,4060,90
Philippines,2013,3590,0,3145
Philippines,2014,4230,0,3755
Philippines,2015,6210,0,6185
Philippines,2016,6995,0,6420
Philippines,2017,6550,0,6100
Philippines,2018,6125,0,6100
Philippines,2019,6120,0,5670
Philippines,2020,6585,0,6160
Philippines,2021,7190,0,6540
Philippines,2022,7075,0,6500
Philippines,2023,6950,0,6300
Russia,2013,4230,0,4230
Russia,2014,4050,0,4050
Russia,2015,4395,0,4395
Russia,2016,4740,0,4740
Russia,2017,4465,0,4465
Russia,2018,4945,0,4945
Russia,2019,4625,0,4625
Russia,2020,4165,0,4165
Russia,2021,4055,0,4055
Russia,2022,4250,0,4250
Russia,2023,4250,0,4250
Rwanda,2013,0,250,0
Rwanda,2014,0,240,0
Rwanda,2015,0,300,0
Rwanda,2016,0,230,0
Rwanda,2017,0,275,0
Rwanda,2018,0,275,0
Rwanda,2019,0,350,0
Rwanda,2020,0,300,0
Rwanda,2021,0,270,0
Rwanda,2022,0,260,0
Rwanda,2023,0,250,0
Saudi Arabia,2013,730,0,730
Saudi Arabia,2014,820,0,820
Saudi Arabia,2015,785,0,785
Saudi Arabia,2016,840,0,840
Saudi Arabia,2017,935,0,935
Saudi Arabia,2018,980,0,980
Saudi Arabia,2019,1040,0,1040
Saudi Arabia,2020,1200,0,1200
Saudi Arabia,2021,1140,0,1140
Saudi Arabia,2022,1300,0,1300
Saudi Arabia,2023,1000,0,1000
Senegal,2013,0,0,0
Senegal,2014,100,0,100
Senegal,2015,105,0,105
Senegal,2016,95,0,95
Senegal,2017,90,0,90
Senegal,2018,45,0,45
Senegal,2019,80,0,80
Senegal,2020,85,0,85
Senegal,2021,50,0,50
Senegal,2022,15,0,15
Senegal,2023,50,0,50
Serbia,2013,790,0,790
Serbia,2014,605,0,605
Serbia,2015,715,0,715
Serbia,2016,625,0,625
Serbia,2017,725,0,725
Serbia,2018,800,0,800
Serbia,2019,805,0,805
Serbia,2020,835,0,835
Serbia,2021,735,0,735
Serbia,2022,715,0,715
Serbia,2023,715,0,715
Sierra Leone,2013,20,25,0
Sierra Leone,2014,23,42,0
Sierra Leone,2015,20,40,0
Sierra Leone,2016,20,40,0
Sierra Leone,2017,24,41,0
Sierra Leone,2018,13,37,0
Sierra Leone,2019,24,41,0
Sierra Leone,2020,15,60,0
Sierra Leone,2021,10,30,0
Sierra Leone,2022,10,40,0
Sierra Leone,2023,10,50,0
Singapore,2013,120,0,120
Singapore,2014,150,0,150
Singapore,2015,140,0,140
Singapore,2016,105,0,105
Singapore,2017,95,0,95
Singapore,2018,190,0,190
Singapore,2019,100,0,100
Singapore,2020,90,0,90
Singapore,2021,100,0,100
Singapore,2022,110,0,110
Singapore,2023,100,0,100
South Africa,2013,545,0,545
South Africa,2014,565,0,565
South Africa,2015,600,0,600
South Africa,2016,585,0,585
South Africa,2017,715,0,715
South Africa,2018,710,0,710
South Africa,2019,660,0,660
South Africa,2020,715,0,715
South Africa,2021,880,0,880
South Africa,2022,650,0,650
South Africa,2023,750,0,750
Sri Lanka,2013,0,0,0
Sri Lanka,2014,0,0,0
Sri Lanka,2015,0,0,0
Sri Lanka,2016,0,0,0
Sri Lanka,2017,0,0,0
Sri Lanka,2018,0,0,0
Sri Lanka,2019,0,0,0
Sri Lanka,2020,0,0,0
Sri Lanka,2021,0,0,0
Sri Lanka,2022,0,0,0
Sri Lanka,2023,0,0,0
Switzerland,2013,1410,890,2300
Switzerland,2014,1445,975,2420
Switzerland,2015,1420,1040,2460
Switzerland,2016,1450,1150,2600
Switzerland,2017,1525,1225,2750
Switzerland,2018,1460,1350,2810
Switzerland,2019,1470,1560,3030
Switzerland,2020,1580,1870,3450
Switzerland,2021,1550,1850,3400
Switzerland,2022,1525,1765,3290
Switzerland,2023,1650,1850,3500
Taiwan,2013,380,0,380
Taiwan,2014,445,0,445
Taiwan,2015,535,0,535
Taiwan,2016,570,0,570
Taiwan,2017,590,0,590
Taiwan,2018,610,0,610
Taiwan,2019,690,0,690
Taiwan,2020,660,0,660
Taiwan,2021,695,0,695
Taiwan,2022,685,0,685
Taiwan,2023,700,0,700
Tanzania,2013,50,803,0
Tanzania,2014,50,980,0
Tanzania,2015,52,1120,0
Tanzania,2016,50,1030,0
Tanzania,2017,50,1030,0
Tanzania,2018,50,1230,0
Tanzania,2019,50,1230,0
Tanzania,2020,75,1057,6
Tanzania,2021,40,1247,9
Tanzania,2022,75,1160,6
Tanzania,2023,77,1270,6
Thailand,2013,515,2100,1615
Thailand,2014,545,1975,1520
Thailand,2015,555,960,815
Thailand,2016,530,850,580
Thailand,2017,635,650,585
Thailand,2018,770,730,850
Thailand,2019,800,905,1005
Thailand,2020,650,885,935
Thailand,2021,725,990,1065
Thailand,2022,730,900,930
Thailand,2023,680,1100,1030
Togo,2013,0,165,0
Togo,2014,0,175,0
Togo,2015,0,120,0
Togo,2016,0,80,0
Togo,2017,0,130,0
Togo,2018,0,95,0
Togo,2019,0,100,0
Togo,2020,0,85,0
Togo,2021,0,80,0
Togo,2022,0,100,0
Togo,2023,0,80,0
Trinidad and Tobago,2013,0,0,0
Trinidad and Tobago,2014,0,0,0
Trinidad and Tobago,2015,0,0,0
Trinidad and Tobago,2016,0,0,0
Trinidad and Tobago,2017,0,0,0
Trinidad and Tobago,2018,0,0,0
Trinidad and Tobago,2019,0,0,0
Trinidad and Tobago,2020,0,0,0
Trinidad and Tobago,2021,0,0,0
Trinidad and Tobago,2022,0,0,0
Trinidad and Tobago,2023,0,0,0
Turkey,2013,505,0,505
Turkey,2014,675,0,675
Turkey,2015,710,0,710
